Mucosal Defence,Antigen presenting,Hypoxia Stress,Cell Cycling,Oxidative Stress,Mesenchymal,Terminal Differentiation,Quiescent Progenitor,Reactive Oxygen Stress
CHCHD10,STAT1,HLA-B,TUBA1C,TALDO1,,PLAC8,CXCL2,
ATP5F1B,IRF1,SLC6A8,HIST1H1B,RBP1,,RAB11FIP1,GSTA1,
CD24,ID3,NFKBIZ,HIST1H2AI,NDUFC2,,S100A16,,
ATP5ME,UBE2L6,ENO2,HMGB3,ALDH3A1,,MUC20,,
C19orf33,RPS3A,ITGB4,TUBB4B,CXCL14,,KRT4,,
EBPL,GBP1,NEFL,ARL6IP1,NMB,,APOBEC3A,,
BHLHE40,OCIAD2,RHOC,RANBP1,TXN,,PPL,,
CAST,SYT8,HSP90B1,RPL39L,GPI,,ECM1,,
CAPNS1,IGFBP7,NUPR1,JPT1,FDFT1,,TGM3,,
RAB25,RPS13,ANGPTL4,RAD21,TOMM6,,C4orf3,,
SERPINB5,TAP1,HIF1A,CDK5RAP2,TMEM14A,,KRT6C,,
DSC3,TAGLN2,JUN,UBE2S,GCLC,,CXCL17,,
CALML3,BRIX1,MYL12A,GSTM4,COX6C,,KRTDAP,,
AHNAK,RAD1,LAMA3,RPL7L1,PABPC1,,KRT6B,,
COMT,LDHA,TNFSF10,TMEM14A,ASPH,,LGALS3,,
PDCD4,MDK,MDK,TOMM6,TM4SF1,,KRT13,,
KLK11,ZC3H12A,MACF1,COX6C,DNPH1,,LMO7,,
GJB2,HERPUD1,H1F0,HIST1H4C,GLO1,,MXD1,,
SERPINB2,COL1A1,TAGLN2,POLR2K,NTRK2,,LYPD3,,
S100A9,LGALS1,ACTN1,H2AFX,POLR2K,,S100A14,,
PHLDA2,PPP1R15A,FUS,COA6,MEA1,,ADIRF,,
CLCA2,BEX3,TP63,HSP90AB1,TNC,,CLDN4,,
EHF,MT-CO1,,FGFBP2,GSTA4,,S100P,,
ALDH2,SPARC,,AKR1B10,USP14,,NIBAN2,,
NRARP,CXCL1,,EPCAM,SPARCL1,,CLDN7,,
NFE2L2,MT-ND3,,GSTM3,MRPL14,,AC019349.1,,
LGALS7B,,,AKR1C3,HSPA1B,,ERO1A,,
KRT6A,,,AKR1C1,SELENOP,,EMP1,,
GSTM1,,,HIST1H1E,TYMS,,CALML5,,
HBEGF,,,FTL,TP63,,KRT7,,
MT1X,,,H19,HSPA1A,,KLK6,,
MT-ATP8,,,GSTA1,GSTA1,,ISG15,,
